Building,Category,Value
Mershon Auditorium,Auditorium,659476.363064547
Mershon Auditorium,Auditorium,92520.39515629472
Orton Hall,Academic/Administration,171023.56991264026
Page Hall,Academic,191736.03633992237
Smith Alpheus Laboratory,Academic/Research,71073.6658240991
Smith Alpheus Laboratory,Academic/Research,178729.67074197193
Smith Alpheus Laboratory,Academic/Research,280522.48098795273
Pomerene Hall,Academic,278191.7184404117
McCracken Power Plant,Facilities/Administration,2.14981622887522E8
McCracken Power Plant,Facilities/Administration,2.0030006077294788E8
McCracken Power Plant,Facilities/Administration,2437731.0852473886
McCracken Power Plant,Facilities/Administration,4739329.106210818
McCracken Power Plant,Facilities/Administration,933441.3668168123
McCracken Power Plant,Facilities/Administration,4.2705207786234625E7
McCracken Power Plant,Facilities/Administration,2.7392514079661693E7
McCracken Power Plant,Facilities/Administration,3949906.986108235
Mathematics Tower,Academic,2801741.8435181063
Mathematics Tower,Academic,563458.1516082573
Physics Research Building,Academic/Research,5.919873256073806E7
Physics Research Building,Academic/Research,9453306.186712315
Central Service Building,Facilities,237634.92651175757
Sisson Hall,Academic/Research,480369.4414731286
Schottenstein Jerome Center,Athletics,6135377.729695844
Schottenstein Jerome Center,Athletics,5727293.947922745
Schottenstein Jerome Center,Athletics,4583260.848410146
Schottenstein Jerome Center,Athletics,4718387.797229618
Schottenstein Jerome Center,Athletics,5376553.462748504
Schottenstein Jerome Center,Athletics,137559.73590312724
Schottenstein Jerome Center,Athletics,857986.1400656805
Hale Frank W Jr Hall,Academic/Administration,5386257.977274389
Park-Stradley Hall,Student Housing,9359682.421954874
Park-Stradley Hall,Student Housing,5886564.260644039
Park-Stradley Hall,Student Housing,7.0
Park-Stradley Hall,Student Housing,7904940.38924194
Park-Stradley Hall,Student Housing,9828745.859450733
Townshend Hall,Academic,8.457831429531678E8
Siebert Hall,Student Housing,3499021.7558383006
